Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7,Segment 8,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,total
,,subjects,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,23,21,27,8,1,1,24,9,29,2,3,0,161
aria,,,,0,0,0,0,0,0,0,0,24,88,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,118
,,,afgelopen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,5,11,70,106
de,,,,0,0,0,0,1,13,3,0,0,0,0,0,0,0,0,0,0,1,1,6,4,4,2,2,6,7,11,5,6,32,104
,,,conservation-science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,6,75,89
fr,,,,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,1,0,7,2,4,2,4,9,2,14,5,4,24,89
,,,past,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,6,10,59,88
api,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,75,87
,,,vermeer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,41,17,5,76
,,,partnerships,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,21,1,4,36,75
collection,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,8,5,1,0,1,0,58
,,,fine-and-decorative-arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,2,0,1,3,19,40
catalogue,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,26,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,35
,,,fellows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,25,34
es,,,,0,0,0,0,1,6,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,3,0,1,1,1,12,32
it,,,,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,10,24
maurits,,,,0,0,0,0,0,1,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
info,,,,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
